"common_name","scientific_name"
"American cupped oyster","Crassostrea virginica"
"American lobster","Homarus americanus"
"American sea scallop","Placopecten magellanicus"
"Antarctic krill","Euphausia superba"
"Argentine red shrimp","Pleoticus muelleri"
"Argentine shortfin squid","Illex argentinus"
"Australian spiny lobster","Panulirus cygnus"
"Banana prawn","Fenneropenaeus merguiensis"
"Blue crab","Callinectes sapidus"
"Blue mussel","Mytilus edulis"
"Blue swimmer crab","Portunus armatus"
"Brown tiger prawn","Penaeus esculentus"
"Caribbean spiny lobster","Panulirus argus"
"Common octopus","Octopus vulgaris"
"Dungeness crab","Cancer magister"
"Giant river prawn","Macrobrachium rosenbergii"
"Giant tiger prawn","Penaeus monodon"
"Mediterranean mussel","Mytilus galloprovincialis"
"New Zealand mussel","Perna canaliculus"
"Northern brown shrimp","Farfantepenaeus aztecus"
"Northern prawn","Pandalus borealis"
"Northern white shrimp","Litopenaeus setiferus"
"Norway lobster","Nephrops norvegicus"
"Ocean quahog","Arctica islandica"
"Pacific cupped oyster","Crassostrea gigas"
"Queen scallop","Aequipecten opercularis"
"Silver pomfrets","Pampus"
"Snappers","Lutjanus"
"Southern pink shrimp","Farfantepenaeus notialis"
"Southern rock lobster","Jasus edwardsii"
"Threadfin breams","Nemipterus"
"Whiteleg shrimp","Penaeus vannamei"
