Farmed/Wild,Common Name,Scientific Name,System,GHG Low,GHG High,PrGHG Low,PrGHG High,% Feed,% Energy,Feed Conversion Ratio,Energy Use,Energy from Electricity,Protein Yield,% Fish,% Crops,% Poultry,Data Certainty,Note on Species,Note on data,Key reference,Key reference link
"Farmed","Arctic char","Salvelinus alpinus","Recirculating tanks",2.2,3.9,19.7,34.4,65,35,1.3,40.2,87,11.3,35,54,11,"Medium","Arctic char is a salmonid species native to the Arctic Ocean and North Atlantic. They are farmed in recirculating and flow-through systems, with most production taking place in Iceland. Products are sold fresh or frozen.","Only a single LCA study has been undertaken on Arctic char (Ayer and Tyedmers, 2007). The estimate here is substantially lower than their estimate due to the source of electricity: most Arctic char is produced in Iceland, while Ayer and Tyedmers assessed a Nova Scotian system using coal-derived electricity. Energy use rates are for salmonid recirculating systems and come from seven sources. ","Ayer and Tyedmers 2007","http://www.sciencedirect.com/science/article/pii/S0959652608001820"
"Farmed","Atlantic salmon","Salmo salar","Marine net pen",1.6,2.9,13,24,94,6,1.3,1.9,15,12.2,36,54,10,"High","Atlantic salmon is the most commonly farmed salmonid species, and a widely commercially farmed species globally. They are typically farmed in marine net pens, although land-based recirculating and flow-through production also takes place. Products are sold fresh, frozen, or preserved.","Numerous studies of Atlantic salmon marine net pen production have been published, which consistently show feed production to account for the majority of emissions. Energy use rates were estimated from 13 sources. Estimates here are similar to those produced for global Atlantic salmon production by Pelletier et al. (2009).","Pelletier et al 2009","http://pubs.acs.org/doi/abs/10.1021/es9010114"
"Farmed","Atlantic salmon","Salmo salar","Raceway",3.2,7.4,26.4,61,40,60,1.3,48.2,83,12.2,36,54,10,"High","Atlantic salmon is the most commonly farmed salmonid species, and a widely commercially farmed species globally. They are typically farmed in marine net pens, although land-based recirculating and flow-through production also takes place. Products are sold fresh, frozen, or preserved.","Fewer studies have been undertaken on flow-through or raceway systems to produce Atlantic salmon than marine net pens. Energy production plays a much larger role in these systems, particularly if electricity is being generated from fossil fuels. Only one study has provided energy use data specific to Atlantic salmon flow-through systems.","Pelletier et al 2009","http://pubs.acs.org/doi/abs/10.1021/es9010114"
"Farmed","Atlantic salmon","Salmo salar","Recirculating tanks",2.3,4.8,18.9,39.3,58,41,1.3,23.1,87,12.2,36,54,10,"High","Atlantic salmon is the most commonly farmed salmonid species, and a widely commercially farmed species globally. They are typically farmed in marine net pens, although land-based recirculating and flow-through production also takes place. Products are sold fresh, frozen, or preserved.","Fewer studies have been undertaken on recirculating systems to produce Atlantic salmon than marine net pens. Energy production plays a much larger role in these systems, particularly if electricity is being generated from fossil fuels. Two studies have provided data for Atlantic salmon recirculating systems.","Pelletier et al 2009","http://pubs.acs.org/doi/abs/10.1021/es9010114"
"Farmed","Chinook salmon","Oncorhynchus tshawytscha","Marine net pen",2.1,3.6,17.1,29.6,94,6,1.3,2,15,12.1,21,51,28,"Medium","Chinook salmon are an anadromous species found in the northern Pacific ocean and harvested primarily on the west coast of North America. Fisheries employ troll lines, gillnets, and purse seines. Chinook is also farmed in New Zealand as King Salmon in marine net pens.","Feed conversion ratios and feed compositions were available for New Zealand production of Chinook salmon, and energy use rates for Atlantic salmon marine net pens were used to produce this estimate. Values are similar to those expected for Atlantic salmon production, although slightly higher due to greater use of animal-based feed inputs. No LCA studies have been undertaken specifically on Chinook salmon culture.",null,null
"Farmed","Sea trout","Salmo trutta","Marine net pen",1.3,2.5,12.9,24.1,91,9,1.3,2,15,10.4,40,60,0,"Medium","Sea trout is an Atlantic anadromous salmonid species. They are farmed primarily in Europe, in both ocean and land-based systems. Products are sold fresh or frozen.","Studies specific to Sea trout production are not available. The estimates here reflect feed inputs and rates of energy use for marine net pen production of all salmonids.",null,null
"Farmed","Sea trout","Salmo trutta","Recirculating tanks",3.4,8.2,32.3,78.8,33,67,1.3,40.2,87,10.4,40,60,0,"Medium","Sea trout is an Atlantic anadromous salmonid species. They are farmed primarily in Europe, in both ocean and land-based systems. Products are sold fresh or frozen.","Studies specific to Sea trout production are not available. The estimates here reflect feed inputs and rates of energy use for recirculating production of all salmonids.",null,null
"Farmed","Rainbow trout","Oncorhynchus mykiss","Raceway",3,7,28.4,67.5,38,62,1.3,22.1,83,10.4,41,54,5,"High","Rainbow trout is a Pacific anadromous salmonid species farmed around the world in land-based recirculating and flow-through systems as well as cages and net pens. Products are sold fresh or frozen.","Several studies have been completed for Rainbow trout production, primarily in Europe. Energy use estimates for raceway systems were taken from seven sources.","Aubin et al., 2009","http://www.sciencedirect.com/science/article/pii/S0959652608001935"
"Farmed","Rainbow trout","Oncorhynchus mykiss","Recirculating tanks",5.2,8.7,49.7,84,41,59,1.3,34.9,87,10.4,41,54,5,"High","Rainbow trout is a Pacific anadromous salmonid species farmed around the world in land-based recirculating and flow-through systems as well as cages and net pens. Products are sold fresh or frozen.","Several studies have been completed for Rainbow trout production, primarily in Europe. Energy use estimates for recirculating systems were taken from three sources.","Dekamin et al., 2015","http://www.sciencedirect.com/science/article/pii/S0959652614012906"
"Farmed","Japanese amberjack","Seriola quinqueriadata","Marine net pen",2,4,14.3,29,94,6,2.2,2,15,13.6,59,37,0,"Low","Japanese amberjack is a species of amberjack native to the western Pacific. They are farmed in marine net pens in Japan, relying on wild catch of fry to populate the pens. Amberjacks are sold whole or filleted, particularly to the Japanese market for sashimi.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species.",null,null
"Farmed","Atlantic bluefin tuna","Thunnus thynnus","Marine net pen",4.7,6.7,30.3,43.8,97,3,16.7,2,15,15.4,100,0,0,"Low","Atlantic bluefin tuna are fished in the Atlantic Ocean and the Mediterranean Sea, and either harvested directly or transferred to marine pens for ranching. Fisheries operate multiple gear types, and tuna are typically sold to Japanese sushi markets.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species. Importantly, little is known of the extent to which wild tuna capture prior to ranching contributes to emissions.",null,null
