Farmed/Wild,Common Name,Scientific Name,Gear,GHG Low,GHG High,PrGHG Low,PrGHG High,% Fuel,% Bait,% Other,FUI (L/t),Protein Yield (%),Bait (kg/t),Number of sources,Number of data points,Data certainty,Note on Species,Note on data,Key reference,Key reference link,,
Wild,European anchovy,Engraulis encrasicolus,Midwater trawl,0.4,1.6,3.2,12.2,75,0,25,70,12.9,null,1,1,undefined,"European anchovies are a forage fish found throughout the eastern Atlantic Ocean, Mediterranean, and European inland seas. They are harvested using purse seine and midwater trawl gears, and commonly sold canned or otherwise preserved for human consumption.",\Data are not available for trawl fisheries targeting European anchovy. This estimate is based on midwater trawl fisheries for similar species," sourcing data from 14 studies.\""""",null,null,
Wild,European sprat,Sprattus sprattus,Midwater trawl,0.4,1.6,4.1,15.9,75,0,25,323,9.9,null,14,36,Low,"European sprat is a small forage fish found throughout Europe, the Mediterranean Sea and European inland seas. They are caught primarily with midwater trawls and used for bait or canning.",\Data are not available for trawl fisheries targeting European sprat. This estimate is based on midwater trawl fisheries for similar species," sourcing data from 14 studies.\""""",null,null,
Wild,South American pilchard,Sardinops sagax,Purse seine,0.4,0.5,3.4,4.9,75,0,25,101,10.3,null,5,16,High,"South American pilchards or Pacific sardines are a forage fish found throughout Asia and Australasia as well as off the western coasts of North and South America. They are harvested using purse seines and midwater trawls and their products include meal and oil for inputs to aquaculture and livestock feeds, bait for other fisheries, and fresh, frozen, or preserved products for human consumption.","\Data are sourced from five studies and range from 1976 to 2011. Longitudinal data from the Australia sardine fishery from 2005 to 2014 are provided by Parker and colleagues.\""""","Parker et al., 2015",http://www.sciencedirect.com/science/article/pii/S0959652614010208,,
Wild,Indian oil sardine,Sardinella longiceps,Purse seine,0.6,0.7,4.3,5.2,75,0,25,128,12.7,null,2,8,High,"Indian oil sardine is an oily forage fish found primarily on the western coast of India and fished using seines and gillnets, and is one of the most heavily harvested species in India. It is sold primarily for human consumption, as well as reduction to meal and oil for livestock or aquaculture feeds.","\Data are sourced from two studies and range from 1998 to 2013. Das and Edwin published a life cycle assessment in 2016. \""""",Das and Edwin 2016,http://epubs.icar.org.in/ejournal/index.php/FT/article/view/65801,,
Wild,Gulf menhaden,Brevoortia patronus,Purse seine,0.2,0.2,1.4,1.5,75,0,25,37,11.1,null,1,4,Medium,"Gulf menhaden are an oily forage fish found along the eastern coast of North America, and are one of the most heavily harvest species in the United States. They are fished with purse seine gear. Products include meal and oil for use as inputs to aquaculture and livestock feeds, oil for cooking, and bait for lobster and crab fisheries.",\Fuel use data are available from a single source drawing upon data from 1998 to 2001. Fuel use estimate is in line with other similar fisheries," but new data need to be collected.\""""","Tyedmers, 2001",http://www.fcrn.org.uk/sites/default/files/Fishing_and_Energy_Use.pdf,
Wild,Pacific herring,Clupea pallasii pallasii,Purse seine,0.6,2.6,6,25.3,75,0,25,152,10.1,null,2,3,Low,"Pacific herring are a small, oily, schooling fish found on both sides of the Pacific Ocean. Previously targeted for reduction to meal and oil, the commercial fishery for Herring in North America today provides products for human consumption, particularly roe for the sushi market, as well as bait for other fisheries. ","\Data are sourced from two studies and range from 1980 to 1994. Fuel use estimates vary widely and are skewed by a high estimate published in 1989. New data need to be collected.\""""","Tyedmers, 2001",http://www.fcrn.org.uk/sites/default/files/Fishing_and_Energy_Use.pdf,,
Wild,Atlantic mackerel,Scomber scombrus,Purse seine,0.2,0.3,1.3,2.1,75,0,25,43,12.2,null,3,5,High,"Atlantic mackerel are a schooling forage fish found in the north Atlantic and harvested with purse seines and midwater trawls. The fishery is amongst the largest in the Atlantic ocean, and its products range from fresh, frozen, or preserved fish for human consumption to bait and inputs to aquaculture feeds.",\Three studies have published fuel use data for Atlantic mackerel fisheries," with data from 2000-2011 consistently showing fuel consumption under 100 L/t for purse seiners. A longitudinal life cycle study was carried out in Spain in 2011 by Ramos and colleagues.\""""","Ramos et al., 2011",https://link.springer.com/article/10.1007/s11367-011-0304-8,
Wild,South American pilchard,Sardinops sagax,Midwater trawl,0.4,1.6,4,15.3,75,0,25,323,10.3,null,14,36,Low,"South American pilchards or Pacific sardines are a forage fish found throughout Asia and Australasia as well as off the western coasts of North and South America. They are harvested using purse seines and midwater trawls and their products include meal and oil for inputs to aquaculture and livestock feeds, bait for other fisheries, and fresh, frozen, or preserved products for human consumption.",\Data are not available for trawl fisheries targeting South American Pilchard. This estimate is based on midwater trawl fisheries for similar species," sourcing data from 14 studies.\""""",null,null,
Wild,Antarctic krill,Euphausia superba,Midwater trawl,0.5,0.8,24.5,39.2,75,0,25,143,2.1,null,2,7,High,"Antarctic krill is a tiny crustacean that plays an important role in the food web of the Southern Ocean. After a number of years of low production, the fishery for krill has grown recently to provide dietary supplements, aquaculture feed inputs, and pet food. Krill are fished using and midwater trawls and are commonly processed onboard.",\Data are sourced from research undertaken on the world's largest harvester of Antarctic krill," including two factory processor vessels. Annual data are available from 2007-2013.\""""","Parker and Tyedmers, 2012",http://pubs.acs.org/doi/abs/10.1021/es2040703,
Wild,Anchoveta,Engraulis ringens,Purse seine,0.1,0.1,0.6,0.6,75,0,25,15,11.8,null,2,7,High,"The fishery for Anchoveta, or Peruvian anchovy, is one of the largest in the world. Anchoveta is a forage fish harvested in the upwelling waters off the western coast of South America using purse seines. The fishery primarily provides meal and oil products for inputs to aquaculture and livestock feeds, while a relatively smaller amount is canned or otherwise sold for human consumption.","\Data are based on two sources. Recent research in Peru provides relatively consistent fuel use data from a large number of anchoveta purse seiners in line with previous estimates. Fuel use estimates for this fishery are the lowest of all industrial fisheries assessed.\""""","Freon et al., 2014",https://link.springer.com/article/10.1007/s11367-014-0716-3,,
