"V1","V2","V3","V4","V5","V6","V7"
"Venezuela","VEN","414 051","14.1","8.9","1.7","3.6"
"Cameroon","CMR","386 995","19.3","15.9","2.0","1.5"
"C<U+00F4>te d'Ivoire","CIV","357 937","17.8","14.8","2.0","0.9"
"Pakistan","PAK","350 696","2.0","1.2","0.5","0.3"
"Angola","AGO","334 368","17.0","14.3","1.1","1.6"
"Sweden","SWE","332 778","35.2","19.4","8.3","7.5"
"Norway","NOR","329 787","66.6","26.2","16.2","24.2"
"Senegal","SEN","329 715","25.8","25.0","0.1","0.7"
"Belgium","BEL","310 421","28.2","14.5","7.1","6.6"
"South Africa","ZAF","310 029","6.1","3.5","1.1","1.5"
"Chile","CHL","309 374","17.9","7.1","3.4","7.4"
"Colombia","COL","301 637","6.4","3.8","0.9","1.7"
"Greece","GRC","290 579","25.7","6.4","8.9","10.5"
"United Republic of Tanzania","TZA","276 750","6.0","5.5","0.3","0.2"
"Saudi Arabia","SAU","251 624","9.0","3.9","2.3","2.8"
"Argentina","ARG","243 094","6.0","3.7","0.7","1.5"
"Korea, Democratic People's Republic of","PRK","235 150","9.6","6.3","2.6","0.7"
"United Arab Emirates","ARE","220 189","27.9","19.3","5.6","3.0"
"Finland","FIN","212 891","39.5","27.2","5.1","7.3"
"Mozambique","MOZ","209 178","8.7","8.1","0.1","0.5"
"Denmark","DNK","198 235","35.6","11.1","3.7","20.7"
"Sierra Leone","SLE","196 459","32.8","32.4","0.1","0.3"
"Kenya","KEN","189 982","4.6","3.8","0.5","0.3"
"Belarus","BLR","186 885","19.7","9.6","4.5","5.6"
"Israel","ISR","174 076","22.4","6.4","10.1","5.9"
"Romania","ROU","165 764","7.7","2.5","2.2","3.0"
"Switzerland","CHE","151 384","19.1","10.1","4.8","4.3"
"Algeria","DZA","151 173","4.2","2.8","0.6","0.8"
"Ecuador","ECU","146 490","10.0","2.3","2.4","5.4"
"Tunisia","TUN","146 064","13.7","8.2","2.5","3.0"
"Lithuania","LTU","143 951","44.9","31.5","6.1","7.3"
"Benin","BEN","133 701","14.7","12.8","1.0","0.8"
"Austria","AUT","125 884","15.0","8.4","2.8","3.8"
"Mali","MLI","119 235","7.5","7.0","0.1","0.4"
"New Zealand","NZL","118 051","26.8","17.2","6.5","3.2"
"Czech Republic","CZE","115 121","10.9","5.5","2.9","2.5"
"Congo","COG","114 828","27.7","21.6","3.2","3.0"
"Ireland","IRL","110 559","24.6","13.9","4.6","6.2"
"Lao People's Democratic Republic","LAO","108 550","17.3","0.8","12.5","3.9"
"Guinea","GIN","108 144","10.6","10.2","0.1","0.3"
"Burkina Faso","BFA","107 859","6.4","5.0","0.3","1.1"
"Dominican Republic","DOM","107 248","10.7","3.2","2.7","4.8"
"Madagascar","MDG","105 749","5.0","3.6","0.5","0.9"
"Iraq","IRQ","99 352","3.0","1.5","1.0","0.5"
"Zambia","ZMB","91 339","6.8","5.3","0.6","0.8"
"Kazakhstan","KAZ","87 040","5.3","3.0","0.8","1.4"
"Oman","OMN","81 896","28.8","26.2","1.6","0.9"
"Malawi","MWI","78 281","5.1","4.0","0.2","0.9"
"Jamaica","JAM","72 772","26.9","14.6","5.5","6.8"
"Serbia","SRB","68 514","9.4","3.0","2.5","4.0"
"Cuba","CUB","66 671","5.9","1.4","2.6","1.9"
"Latvia","LVA","62 325","28.1","21.4","2.7","4.0"
"Hungary","HUN","61 500","6.2","1.2","2.2","2.8"
"Chad","TCD","60 745","5.3","5.2","0.0","0.1"
"Nepal","NPL","60 359","2.0","0.4","1.1","0.4"
"Yemen","YEM","60 266","2.4","1.2","0.5","0.7"
"Bulgaria","BGR","57 763","7.7","3.0","2.4","2.3"
"Lebanon","LBN","55 937","13.1","4.8","3.7","4.6"
"Moldova, Republic of","MDA","55 735","15.7","6.5","5.8","3.4"
"Gabon","GAB","55 243","36.0","29.5","3.7","2.8"
"Costa Rica","CRI","54 492","11.5","3.7","4.4","3.5"
